Device,Telco,Rate plan,RRP,Device monthly,Plan monthly,Gross monthly,Total cost of ownership,Months,Select plan Range,summary RM58 plan,,,,summary RM88 plan,,
iPhone 16 128GB,Yes 5G,Infinite+ Basic 58,"3,999",98,58,156,"5,616",36,< RM100 plan,,,,,,,
iPhone 16 128GB,Yes 5G,Infinite+ Standard 88,"3,999",70,88,158,"5,688",36,< RM100 plan,,,,,,,
iPhone 16 128GB,Telco U,U Postpaid 68,"3,999",100,68,168,"6,048",36,< RM100 plan,Save up to,RM432,with Yes 5G,,Save up to,RM360,with Yes 5G
iPhone 16 128GB,Telco U,U Postpaid 98,"3,999",91,98,189,"6,804",36,< RM100 plan,Save up to,"RM1,188",with Yes 5G,,Save up to,"RM1,116",with Yes 5G
iPhone 16 128GB,Telco CD,Postpaid 5G 100,"3,999",100,90,190,"6,840",36,< RM100 plan,Save up to,"RM1,224",with Yes 5G,,Save up to,"RM1,152",with Yes 5G
iPhone 16 128GB,Yes 5G,Infinite+ Premium 118,"3,999",50,118,168,"6,048",36,RM101 - RM149 plan,,,,,,,
iPhone 16 128GB,Telco CD,Postpaid 5G 120,"3,999",88,110,198,"7,128",36,RM101 - RM149 plan,Save up to,"RM1,080",with Yes 5G,,,,
iPhone 16 128GB,Telco M,Telco M Postpaid 109,"3,999",100,109,209,"7,524",36,RM101 - RM149 plan,Save up to,"RM1,476",with Yes 5G,,,,
iPhone 16 128GB,Telco CD,Postpaid 5G 140,"3,999",86,130,216,"7,776",36,RM101 - RM149 plan,Save up to,"RM1,728",with Yes 5G,,,,
iPhone 16 128GB,Telco M,Telco M Postpaid 139,"3,999",87,139,226,"8,136",36,RM101 - RM149 plan,Save up to,"RM2,088",with Yes 5G,,,,
iPhone 16 128GB,Yes 5G,Infinite+ Ultra 178,"3,999",16,178,194,"6,984",36,> RM150 plan,,,,,,,
iPhone 16 128GB,Telco CD,Postpaid 5G 160,"3,999",84,150,234,"8,424",36,> RM150 plan,Save up to,"RM1,440",with Yes 5G,,,,
iPhone 16 128GB,Telco M,Telco M Postpaid 169,"3,999",84,169,253,"9,108",36,> RM150 plan,Save up to,"RM2,124",with Yes 5G,,,,
iPhone 16 128GB,Telco M,Telco M Postpaid 199,"3,999",81,199,280,"10,080",36,> RM150 plan,Save up to,"RM3,096",with Yes 5G,,,,
iPhone 16 256GB,Yes 5G,Infinite+ Basic 58,"4,499",111,58,169,"6,084",36,< RM100 plan,,,,,,,
iPhone 16 256GB,Yes 5G,Infinite+ Standard 88,"4,499",93,88,181,"6,516",36,< RM100 plan,,,,,,,
iPhone 16 256GB,Telco U,U Postpaid 68,"4,499",113,68,181,"6,516",36,< RM100 plan,Save up to,RM432,with Yes 5G,,,,
iPhone 16 256GB,Telco U,U Postpaid 98,"4,499",103,98,201,"7,236",36,< RM100 plan,Save up to,"RM1,152",with Yes 5G,,,,
iPhone 16 256GB,Telco CD,Postpaid 5G 100,"4,499",113,90,203,"7,308",36,< RM100 plan,Save up to,"RM1,224",with Yes 5G,,,,
iPhone 16 256GB,Yes 5G,Infinite+ Premium 118,"4,499",73,118,191,"6,876",36,RM101 - RM149 plan,,,,,,,
iPhone 16 256GB,Telco CD,Postpaid 5G 120,"4,499",101,110,211,"7,596",36,RM101 - RM149 plan,Save up to,RM720,with Yes 5G,,,,
iPhone 16 256GB,Telco M,Telco M Postpaid 109,"4,499",113,109,222,"7,992",36,RM101 - RM149 plan,Save up to,"RM1,116",with Yes 5G,,,,
iPhone 16 256GB,Telco CD,Postpaid 5G 140,"4,499",99,130,229,"8,244",36,RM101 - RM149 plan,Save up to,"RM1,368",with Yes 5G,,,,
iPhone 16 256GB,Telco M,Telco M Postpaid 139,"4,499",99,139,238,"8,568",36,RM101 - RM149 plan,Save up to,"RM1,692",with Yes 5G,,,,
iPhone 16 256GB,Yes 5G,Infinite+ Ultra 178,"4,499",29,178,207,"7,452",36,> RM150 plan,,,,,,,
iPhone 16 256GB,Telco CD,Postpaid 5G 160,"4,499",97,150,247,"8,892",36,> RM150 plan,Save up to,"RM1,440",with Yes 5G,,,,
